"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
"GMR,""city"",""Гамбиер-Айленд"",""Gambier Island"",""-23.08:-134.88"",""Pacific/Gambier"",""French Polynesia"""
"GMS,""city"",""Гимарайнш"",""Guimaraes"",""-2.1321726:-44.6004587"",""America/Fortaleza"",""Brazil"""
"GMT,""city"",""Гранит Маунтайн"",""Granite Mountain"",,""America/Chicago"",""United States"""
"GMV,""city"",""Монумент Вэлли"",""Monument Valley Gldngs"",,""America/New_York"",""United States"""
"GMY,""city"",""Райндален"",""Rheindahlen"",""51.148407:6.357643"",""Europe/Berlin"",""Germany"""
"GMZ,""city"",""Сан Себас Де Ла Гомера"",""San Sebas De La Gomera"",,""+0.0"",""Spain"""
"GNA,""city"",""Гродно"",""Grodna"",""53.6666667:23.8333333"",""Europe/Minsk"",""Belarus"""
"GNB,""city"",""Гренобль"",""Grenoble"",""45.188529:5.724524"",,""France"""
"GND,""city"",""Сент-Джорджес"",""St. Georges"",""12.053532:-61.749684"",""America/Grenada"",""Grenada"""
"GNE,""city"",""Гент"",""Ghent"",""51.05665:3.72"",""Africa/Tripoli"",""Belgium"""
"GNG,""city"",""Гудинг"",""Gooding"",""42.9387917:-114.7131081"",""America/Denver"",""United States"""
"GNI,""city"",""Грин Айленд"",""Green Island"",""22.67:121.47"",""Atlantic/Stanley"",""Taiwan"""
"GNM,""city"",""Гуамби"",""Guanambi"",""-14.2070941:-42.7820399"",""America/Bahia"",""Brazil"""
"GNN,""city"",""Гхиннир"",""Ghinnir"",""7.15:40.72"",""Africa/Addis_Ababa"",""Ethiopia"""
"GNR,""city"",""Хенераль"",""General Roca"",""-39.0267525:-67.5751724"",""America/Argentina/Salta"",""Argentina"""
"GNS,""city"",""Гунунгситоли"",""Gunungsitoli"",""1.261422:97.594148"",""Asia/Pontianak"",""Indonesia"""
"GNT,""city"",""Грантс"",""Grants"",""35.14726:-107.8514466"",""America/Chicago"",""United States"""
"GNU,""city"",""Гудньюс Бэй"",""Goodnews Bay"",""59.1213889:-161.5858333"",""America/Nome"",""United States"""
"GNV,""city"",""Гейнсвилл"",""Gainesville"",""29.6516344:-82.3248262"",""America/Chicago"",""United States"""
"GNZ,""city"",""Ганзи"",""Ghanzi"",""-21.7:21.65"",""Africa/Gaborone"",""Botswana"""
"GOA,""city"",""Генуя"",""Genova"",""44.4070624:8.9339889"",""Europe/Rome"",""Italy"""
"GOB,""city"",""Гоба"",""Goba"",""7.02:40.0"",""Africa/Addis_Ababa"",""Ethiopia"""
"GOC,""city"",""Гора"",""Gora"",""-9.0:148.23"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GOE,""city"",""Гоналия"",""Gonalia"",""-5.383333:151.866667"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GOG,""city"",""Гобабис"",""Gobabis"",""-22.455299:18.963181"",""Africa/Windhoek"",""Namibia"""
"GOH,""city"",""Нуук"",""Nuuk"",""64.18362:-51.721407"",""America/Godthab"",""Greenland"""
"GOI,""city"",""Гоа"",""Goa"",""15.4253792:73.9830029"",""Asia/Kolkata"",""India"""
"GOJ,""city"",""Нижний Новгород"",""Nizhniy Novgorod"",""56.329917:44.009192"",""Europe/Moscow"",""Russia"""
"GOK,""city"",""Гатри"",""Guthrie"",""35.878937:-97.4253185"",""America/Indiana/Indianapolis"",""United States"""
"GOL,""city"",""Голд Бич"",""Gold Beach"",""42.4073334:-124.421774"",""America/Los_Angeles"",""United States"""
"GOM,""city"",""Гома"",""Goma"",""-1.693314:29.225241"",""Africa/Lubumbashi"",""Democratic Republic of the Congo"""
"GON,""city"",""Нью Лондон"",""New London"",""41.3556539:-72.0995209"",""America/Chicago"",""United States"""
"GOO,""city"",""Гундивинди"",""Goondiwindi"",""-28.5472061:150.3074519"",""Australia/Sydney"",""Australia"""
"GOP,""city"",""Горакпура"",""Gorakhpur"",""26.74:83.45"",""Asia/Kolkata"",""India"""
"GOQ,""city"",""Голмуд"",""Golmud"",""36.401619:94.903731"",""Asia/Urumqi"",""China"""
"GOR,""city"",""Гор"",""Gore"",""8.148899:35.536911"",""Africa/Addis_Ababa"",""Ethiopia"""
"GOS,""city"",""Госфорд"",""Gosford"",""-33.42502:151.3422194"",""Australia/Sydney"",""Australia"""
"GOT,""city"",""Гётеборг"",""Gothenburg"",""57.6969943:11.9865"",""Europe/Stockholm"",""Sweden"""
"GOU,""city"",""Гаруа"",""Garoua"",""9.3:13.4"",""Africa/Douala"",""Cameroon"""
"GOV,""city"",""Гове"",""Gove"",""-12.27:136.82"",""Africa/Libreville"",""Australia"""
"GOY,""city"",""Гал Ойа"",""Gal Oya"",""7.34:81.63"",""Asia/Colombo"",""Sri Lanka"""
"GOZ,""city"",""Горна-Оряховица"",""Gorna Oriahovitsa"",""43.1219994:25.689561"",""Europe/Sofia"",""Bulgaria"""
"GPA,""city"",""Патры"",""Patras"",""38.254465:21.7370665"",""Europe/Athens"",""Greece"""
"GPB,""city"",""Гуарапуава"",""Guarapuava"",""-25.3935271:-51.4561701"",""America/Sao_Paulo"",""Brazil"""
"GPI,""city"",""Гуапи"",""Guapi"",""2.4166667:-77.6"",""America/Bogota"",""Colombia"""
"GPL,""city"",""Гуапилес"",""Guapiles"",""10.20581:-83.789238"",""America/Costa_Rica"",""Costa Rica"""
"GPN,""city"",""Гарден Пойнт"",""Garden Point"",""-11.4032267:130.4212433"",""Australia/Perth"",""Australia"""
"GPO,""city"",""Хенераль Пико"",""General Pico"",""-35.6569519:-63.7545471"",""America/Argentina/Salta"",""Argentina"""
"GPS,""city"",""Марчена"",""Galapagos Island"",""0.3183685:-90.4691097"",""Pacific/Galapagos"",""Ecuador"""
"GPT,""city"",""Галфпорта"",""Gulfport"",""30.3674198:-89.0928155"",""America/New_York"",""United States"""
"GPZ,""city"",""Гранд Рапидс"",""Grand Rapids"",""47.2371658:-93.5302142"",""America/Indiana/Knox"",""United States"""
"GQJ,""city"",""Макриханиш"",""Machrihanish"",,""Europe/London"",""United Kingdom"""
"GQQ,""city"",""Галион"",""Galion"",""40.7336687:-82.7899026"",""America/Chicago"",""United States"""
"GRA,""city"",""Гамарра"",""Gamarra"",""8.332431:-73.73555"",""America/Bogota"",""Colombia"""
"GRB,""city"",""Грин Бэй"",""Green Bay"",""44.519159:-88.019826"",""America/New_York"",""United States"""
"GRC,""city"",""Гранд Кесс"",""Grand Cess"",""4.57:-8.22"",""Africa/Monrovia"",""Liberia"""
"GRD,""city"",""Гринвуд"",""Greenwood"",""34.1954001:-82.1617883"",""America/Chicago"",""United States"""
"GRE,""city"",""Гринвилл"",""Greenville"",""38.8922687:-89.4131356"",""America/Chicago"",""United States"""
"GRG,""city"",""Гардез"",""Gardez"",""33.6031:69.2255"",""Asia/Kabul"",""Afghanistan"""
"GRH,""city"",""Гаруахи"",""Garuahi"",""-10.22:150.47"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GRI,""city"",""Гранд Айленд"",""Grand Island"",""40.9222222:-98.3580556"",""America/North_Dakota/New_Salem"",""United States"""
"GRJ,""city"",""Джордж"",""George"",""-33.9666667:22.45"",""Africa/Johannesburg"",""South Africa"""
"GRK,""city"",""Форт Худ"",""Fort Hood"",,,""United States"""
"GRL,""city"",""Гараса"",""Garasa"",""-7.95:147.18"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GRM,""city"",""Гранд-Марей"",""Grand Marais"",""47.7504469:-90.3342727"",""America/Indiana/Knox"",""United States"""
"GRN,""city"",""Гордон"",""Gordon"",""42.8069444:-102.2038889"",""America/Chicago"",""United States"""
"GRO,""city"",""Жерона"",""Gerona"",""41.9817957:2.8236999"",""Europe/Madrid"",""Spain"""
"GRP,""city"",""Гурупи"",""Gurupi"",""-11.7248806:-49.0759617"",""America/Araguaina"",""Brazil"""
"GRQ,""city"",""Гронинген"",""Groningen"",""53.2193835:6.5665018"",""Europe/Amsterdam"",""Netherlands"""
"GRR,""city"",""Гранд Рапидс"",""Grand Rapids"",""42.9633599:-85.6680863"",""America/Indiana/Vevay"",""United States"""
"GRS,""city"",""Гроссето"",""Grosseto"",""42.7628597:11.1127828"",""Europe/Rome"",""Italy"""
"GRT,""city"",""Гуджарат"",""Gujrat"",""32.5737972:74.0789389"",""Asia/Karachi"",""Pakistan"""
"GRV,""city"",""Грозный"",""Groznyj"",""43.3098413:45.6703911"",""Europe/Moscow"",""Russia"""
"GRW,""city"",""Грасиоза"",""Graciosa Island"",""39.0524827:-28.0068979"",""Atlantic/Azores"",""Portugal"""
"GRX,""city"",""Гренада"",""Granada"",""37.1764874:-3.5979291"",""Europe/Madrid"",""Spain"""
"GRY,""city"",""Гримси"",""Grimsey"",""66.55:-18.02"",""Atlantic/Reykjavik"",""Iceland"""
"GRZ,""city"",""Грац"",""Graz"",""47.070714:15.439504"",""Europe/Vienna"",""Austria"""
"GSA,""city"",""Лонг Пасиа"",""Long Pasia"",""4.41:115.72"",""Asia/Kuching"",""Malaysia"""
"GSB,""city"",""Голдсборо"",""Goldsboro"",,""America/New_York"",""United States"""
"GSC,""city"",""Гаскойн Джанкшен"",""Gascoyne Junction"",""-25.0499946:115.2098412"",""Australia/Perth"",""Australia"""
"GSH,""city"",""Гошен"",""Goshen"",""41.5822716:-85.8344383"",""America/New_York"",""United States"""
"GSI,""city"",""Гуадалканал"",""Guadalcanal"",""-9.5773284:160.1455805"",""Pacific/Guadalcanal"",""Solomon Islands"""
"GSL,""city"",""Талсейлей Нарроус"",""Taltheilei Narrows"",""62.6:111.54"",""America/Yellowknife"",""Canada"""
"GSM,""city"",""Гхешм"",""Gheshm"",,""Asia/Tehran"",""Iran"""
"GSN,""city"",""Маунт Гансон"",""Mount Gunson"",""-31.5174666:137.1119996"",""Australia/Adelaide"",""Australia"""
"GSO,""city"",""Гринсборо"",""Greensboro"",""36.0726354:-79.7919754"",""America/Indiana/Vevay"",""United States"""
"GSP,""city"",""Гринвилл"",""Greenville"",""34.8526176:-82.3940104"",""America/Indiana/Vevay"",""United States"""
"GSQ,""city"",""Шарк Эловайнэт"",""Shark Elowainat"",""22.590834:28.715611"",""Africa/Cairo"",""Egypt"""
"GSR,""city"",""Гардо"",""Gardo"",""9.52:49.08"",""Asia/Karachi"",""Somalia"""
"GSS,""city"",""Саби Саби"",""Sabi Sabi"",""-25.08:30.78"",""Africa/Harare"",""South Africa"""
"GST,""city"",""Гаставус"",""Gustavus"",""58.4133333:-135.7369444"",""America/New_York"",""United States"""
"GSU,""city"",""Гедареф"",""Gedaref"",""14.0085665:34.8624166"",""Africa/Khartoum"",""Sudan"""
"GSY,""city"",""Гримсби"",""Grimsby"",""53.565444:-0.0751875"",""Europe/London"",""United Kingdom"""
"GTA,""city"",""Остров Нггатока"",""Gatokae"",""-8.7681653:158.1669894"",""+0.0"",""Solomon Islands"""
"GTB,""city"",""Гентинг"",""Genting"",,""Asia/Kuching"",""Malaysia"""
"GTC,""city"",""Грин Тортл"",""Green Turtle"",""26.78:-77.33"",""America/Nassau"",""Bahamas"""
"GTE,""city"",""Грут-Айленд"",""Groote Eylandt"",""-13.9700453:136.5933382"",""Australia/Darwin"",""Australia"""
"GTF,""city"",""Грейт-Фолс"",""Great Falls"",""47.5002354:-111.3008083"",""America/Indiana/Knox"",""United States"""
"GTG,""city"",""Грантсберг"",""Grantsburg"",""45.7763419:-92.6827041"",""America/Chicago"",""United States"""
"GTI,""city"",""Гюттин"",""Guettin"",""54.3859631:13.3099824"",""Europe/Berlin"",""Germany"""
"GTK,""city"",""Сунгей Текай"",""Sungei Tekai"",""2.6:102.92"",""Asia/Kuching"",""Malaysia"""
"GTO,""city"",""Горонтало"",""Gorontalo"",""0.552512:123.065498"",""Asia/Makassar"",""Indonesia"""
"GTR,""city"",""Колумбус"",""Columbus"",""33.4956744:-88.4272627"",,""United States"""
"GTS,""city"",""Гранитес"",""Granites"",""-26.95:133.6"",""Australia/Darwin"",""Australia"""
"GTT,""city"",""Джорджтаун"",""Georgetown"",""-18.2897835:143.5476948"",""Australia/Adelaide"",""Australia"""
"GTW,""city"",""Злин"",""Zlin"",""49.2268877:17.6689027"",""Europe/Prague"",""Czech Republic"""
"GTY,""city"",""Геттисберг"",""Gettysburg"",""39.8309293:-77.2310955"",""+5.0"",""United States"""
"GUA,""city"",""Гватемала"",""Guatemala City"",""14.6133333:-90.5352778"",""America/Guatemala"",""Guatemala"""
"GUB,""city"",""Герреро-Негро"",""Guerrero Negro"",""27.96541:-114.057701"",""America/Tijuana"",""Mexico"""
"GUC,""city"",""Ганнисон"",""Gunnison"",""38.5458246:-106.9253207"",""America/Chicago"",""United States"""
"GUD,""city"",""Гундам"",""Goundam"",""16.4166667:-3.6666667"",""Africa/Bamako"",""Mali"""
"GUE,""city"",""Гурасо"",""Guriaso"",""-3.58:141.58"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GUF,""city"",""Гулф Шорс"",""Gulf Shores"",""30.29:-87.67"",""America/Chicago"",""United States"""
"GUG,""city"",""Гуари"",""Guari"",""-8.12:146.85"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GUH,""city"",""Ганнеда"",""Gunnedah"",""-30.97681:150.2516925"",""Australia/Sydney"",""Australia"""
"GUI,""city"",""Гуириа"",""Guiria"",""10.57:-62.31"",""America/Caracas"",""Venezuela"""
"GUJ,""city"",""Гуаратингета"",""Guaratingueta"",""-22.8159396:-45.1932773"",""America/Sao_Paulo"",""Brazil"""
"GUL,""city"",""Гулберн"",""Goulburn"",""-34.7547222:149.7186111"",""Australia/Sydney"",""Australia"""
"GUM,""city"",""Хагатна"",""Agana"",""13.47617:144.751511"",""Pacific/Guam"",""Guam"""
"GUO,""city"",""Гуалако"",""Gualaco"",""15.0480338:-86.0707271"",""America/Tegucigalpa"",""Honduras"""
"GUP,""city"",""Гэллап"",""Gallup"",""35.5280783:-108.7425843"",""America/New_York"",""United States"""
"GUQ,""city"",""Гуанаре"",""Guanare"",""9.043784:-69.750313"",""America/Caracas"",""Venezuela"""
"GUR,""city"",""Алотау"",""Alotau"",""-10.31:150.33"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GUT,""city"",""Гютерсло"",""Guetersloh"",""51.9049057:8.3927497"",""Europe/Berlin"",""Germany"""
"GUU,""city"",""Грундарфьордур"",""Grundarfjordur"",""64.99:-23.22"",""Atlantic/Reykjavik"",""Iceland"""
"GUV,""city"",""Моугулу"",""Mougulu"",""-6.27:142.42"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GUW,""city"",""Атырау"",""Atyrau"",""47.101631:51.9133"",""Asia/Oral"",""Kazakhstan"""
"GUX,""city"",""Гуна"",""Guna"",""24.64488:77.310158"",""Asia/Kolkata"",""India"""
"GUY,""city"",""Гаймон"",""Guymon"",""36.6828041:-101.4815493"",""America/Chicago"",""United States"""
"GUZ,""city"",""Гуарапари"",""Guarapari"",""-20.6503933:-40.5070247"",""America/Sao_Paulo"",""Brazil"""
"GVA,""city"",""Женева"",""Geneva"",""46.1983922:6.1422961"",""Europe/Zurich"",""Switzerland"""
"GVE,""city"",""Гордонсвилл"",""Gordonsville"",""38.1373577:-78.187781"",""America/Chicago"",""United States"""
"GVI,""city"",""Грин Ривер"",""Green River"",""-3.8958541:141.1872993"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GVL,""city"",""Гейнсвилл"",""Gainesville"",""34.2978794:-83.8240663"",""America/Chicago"",""United States"""
"GVP,""city"",""Гринвейл"",""Greenvale"",""-19.0:145.01"",""Australia/Perth"",""Australia"""
"GVR,""city"",""Говернадор Валадарес"",""Governador Valadares"",""-18.8498517:-41.9492683"",""America/Sao_Paulo"",""Brazil"""
"GVT,""city"",""Гринвилл"",""Greenville"",""33.1384488:-96.1108066"",""America/Chicago"",""United States"""
"GVW,""city"",""Грандвью"",""Grandview"",""38.8858407:-94.5330096"",""America/Chicago"",""United States"""
"GVX,""city"",""Йевле"",""Gavle"",""60.6746161:17.1418309"",""Europe/Stockholm"",""Sweden"""
"GWA,""city"",""Гва"",""Gwa"",""17.6:94.58"",""Asia/Rangoon"",""Myanmar"""
"GWD,""city"",""Гвадар"",""Gwadar"",""25.1263889:62.3225"",""Asia/Karachi"",""Pakistan"""
"GWE,""city"",""Гверу"",""Gweru"",""-19.451321:29.817739"",""Africa/Harare"",""Zimbabwe"""
"GWL,""city"",""Гвалиор"",""Gwalior"",""26.224447:78.178711"",""Asia/Kolkata"",""India"""
"GWN,""city"",""Гнарауэин"",""Gnarowein"",""-6.566667:146.25"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"GWO,""city"",""Гринвуд"",""Greenwood"",""33.5162315:-90.1795281"",""America/Chicago"",""United States"""
"GWS,""city"",""Гленвуд Спрингс"",""Glenwood Springs"",""39.5505376:-107.3247762"",""America/Denver"",""United States"""
"GWT,""city"",""Вестерланд"",""Westerland"",""54.907506:8.306521"",""Europe/Berlin"",""Germany"""
"GWV,""city"",""Глендейл"",""Glendale"",""39.95:-80.76"",""America/Chicago"",""United States"""
"GWY,""city"",""Голуэй"",""Galway"",""53.2737969:-9.0517799"",""Europe/Dublin"",""Ireland"""
"GXF,""city"",""Сейюн"",""Seiyun"",""15.97:48.79"",""Asia/Aden"",""Yemen"""
"GXG,""city"",""Негаге"",""Negage"",""-7.75:15.29"",""Africa/Luanda"",""Angola"""
"GXQ,""city"",""Койяик"",""Coyhaique"",""-45.6234858:-72.0065399"",""America/Santiago"",""Chile"""
"GXX,""city"",""Йагуа"",""Yagoua"",""10.3427778:15.2405556"",""Africa/Douala"",""Cameroon"""
"GXY,""city"",""Грили"",""Greeley"",""40.4233142:-104.7091322"",""America/Chicago"",""United States"""
"GYA,""city"",""Гуайярамерин"",""Guayaramerin"",""-10.8237579:-65.3688335"",""America/La_Paz"",""Bolivia"""
"GYE,""city"",""Гуаякиль"",""Guayaquil"",""-2.203816:-79.897453"",""America/Guayaquil"",""Ecuador"""
"GYI,""city"",""Гисеньи"",""Gisenyi"",""-1.6955:29.257469"",""Africa/Kigali"",""Rwanda"""
"GYL,""city"",""Аргайл"",""Argyle"",""-16.64:128.45"",""Australia/Perth"",""Australia"""
"GYM,""city"",""Гуаймас"",""Guaymas"",""27.9139609:-110.9020749"",""America/Hermosillo"",""Mexico"""
"GYN,""city"",""Гояния"",""Goiania"",""-16.6777153:-49.2676296"",""America/Sao_Paulo"",""Brazil"""
"GYP,""city"",""Джимпи"",""Gympie"",""-26.1902977:152.6653914"",""Australia/Brisbane"",""Australia"""
"GYR,""city"",""Гудиер"",""Goodyear"",""33.449806:-112.3582136"",""America/Chicago"",""United States"""
"GYS,""city"",""Гуанг Юан"",""Guang Yuan"",,""+0.0"",""China"""
"GYY,""city"",""Гэри"",""Gary"",""41.5933696:-87.3464271"",,""United States"""
"GZA,""city"",""Рафах"",""Rafah"",,""+2.0"",""Palestinian Territory"""
"GZI,""city"",""Газни"",""Ghazni"",""33.53:68.41"",""Asia/Kabul"",""Afghanistan"""
"GZM,""city"",""Гозо"",""Gozo"",,""Europe/Malta"",""Malta"""
"GZO,""city"",""Гизо"",""Gizo"",""-8.1:156.86"",""Pacific/Guadalcanal"",""Solomon Islands"""
"GZP,""city"",""Алания"",""Alanya"",,,""Turkey"""
"GZT,""city"",""Газиантеп"",""Gaziantep"",""37.06622:37.38332"",""Europe/Istanbul"",""Turkey"""
"GZW,""city"",""Казвин"",""Ghazvin"",""36.266819:50.003811"",,""Iran"""
"HAA,""city"",""Хасвик"",""Hasvik"",""70.49:22.14"",""Europe/Oslo"",""Norway"""
"HAB,""city"",""Гамильтон"",""Hamilton"",""34.1423235:-87.9886438"",""America/Chicago"",""United States"""
"HAC,""city"",""Хачийо Джима"",""Hachijo Jima"",""33.12:139.79"",""Asia/Tokyo"",""Japan"""
"HAD,""city"",""Халмстад"",""Halmstad"",""56.6739703:12.8572902"",""Europe/Stockholm"",""Sweden"""
"HAE,""city"",""Хавасупай"",""Havasupai"",""36.2035342:-112.762883"",""America/Phoenix"",""United States"""
"HAF,""city"",""Халф Мун Бэй"",""Half Moon"",""37.5142932:-122.4943791"",""America/Chicago"",""United States"""
"HAG,""city"",""Гаага"",""The Hague"",,""Europe/Amsterdam"",""Netherlands"""
"HAH,""city"",""Морони"",""Moroni"",""-11.701232:43.252927"",,""Comoros"""
"HAI,""city"",""Три Риверс"",""Three Rivers"",""41.9439368:-85.632493"",""America/Indiana/Petersburg"",""United States"""
"HAJ,""city"",""Ганновер"",""Hanover"",""52.3720683:9.7356861"",""Europe/Berlin"",""Germany"""
"HAK,""city"",""Хайкоу"",""Haikou"",""20.030765:110.328873"",""Asia/Chongqing"",""China"""
"HAL,""city"",""Халали"",""Halali"",""-19.97:13.07"",""Africa/Windhoek"",""Namibia"""
"HAM,""city"",""Гамбург"",""Hamburg"",""53.553813:9.991586"",""Europe/Berlin"",""Germany"""
"HAN,""city"",""Ханой"",""Hanoi"",""21.0333333:105.85"",""Asia/Ho_Chi_Minh"",""Vietnam"""
"HAO,""city"",""Гамильтон"",""Hamilton"",""39.3995008:-84.5613355"",""America/Chicago"",""United States"""
"HAP,""city"",""Лонг Айленд"",""Long Island"",""-20.33:148.85"",""Australia/Adelaide"",""Australia"""
"HAQ,""city"",""Ханимаадхуу"",""Hanimaadhoo"",""6.74:73.17"",""Indian/Maldives"",""Maldives"""
"HAS,""city"",""Хаиль"",""Hail"",""27.7076143:41.9196471"",""Asia/Muscat"",""Saudi Arabia"""
"HAT,""city"",""Хелсайленд"",""Heathlands"",""-11.74:142.58"",""Australia/Melbourne"",""Australia"""
"HAU,""city"",""Хаугезунд"",""Haugesund"",""59.35:5.21"",""Europe/Oslo"",""Norway"""
"HAV,""city"",""Гавана"",""Havana"",""23.1168:-82.388557"",""America/Havana"",""Cuba"""
"HAW,""city"",""Хаверфордуэст"",""Haverfordwest"",""51.801116:-4.971537"",""Europe/London"",""United Kingdom"""
"HAX,""city"",""Маскоги"",""Muskogee"",""35.7478769:-95.3696909"",,""United States"""
"HAY,""city"",""Хейкок"",""Haycock"",""65.2045998:-161.1592661"",""America/New_York"",""United States"""
"HAZ,""city"",""Хатзфейдсавен"",""Hatzfeldthaven"",""-4.4:145.2"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"HBA,""city"",""Хобарт"",""Hobart"",""-42.8819032:147.3238148"",""Australia/Hobart"",""Australia"""
"HBC,""city"",""Ханус Бэй"",""Hanus Bay"",,""America/Juneau"",""United States"""
"HBD,""city"",""Хаби"",""Habi"",,,""Papua New Guinea"""
"HBH,""city"",""Хобарт Бэй"",""Hobart Bay"",""57.4658333:-133.3533333"",""America/Juneau"",""United States"""
"HBI,""city"",""Харбор Айленд"",""Harbour Island"",""35.65:-79.89"",""America/Nassau"",""Bahamas"""
"HBL,""city"",""Бабелеги"",""Babelegi"",,,""South Africa"""
"HBN,""city"",""Пху-Бон"",""Phu-bon"",""12.0:106.0"",""Asia/Ho_Chi_Minh"",""Vietnam"""
"HBO,""city"",""Гумбольдт"",""Humboldt"",""40.165:-95.9458333"",""America/Chicago"",""United States"""
"HBR,""city"",""Хобарт"",""Hobart"",""35.0295009:-99.0931317"",""America/North_Dakota/New_Salem"",""United States"""
"HBT,""city"",""Хафр-эль-Батин"",""Hafr Albatin"",""28.4341509:45.9753001"",""Asia/Riyadh"",""Saudi Arabia"""
"HBV,""city"",""Хеббронвиль"",""Hebbronville"",""27.3067057:-98.6783516"",,""United States"""
"HBX,""city"",""Дхарвад"",""Hubli"",""15.465067:75.003481"",""Asia/Kolkata"",""India"""
"HCA,""city"",""Биг Спринг"",""Big Spring"",""32.2503979:-101.4787355"",""America/Indiana/Knox"",""United States"""
"HCB,""city"",""Шоал Коув"",""Shoal Cove"",""55.46:-131.28"",""America/Juneau"",""United States"""
"HCC,""city"",""Гудзон"",""Hudson"",""42.2528649:-73.790959"",""America/Chicago"",""United States"""
"HCM,""city"",""Эли"",""Eil"",""7.916569:49.801401"",""Africa/Addis_Ababa"",""Somalia"""
"HCN,""city"",""Хенгчун"",""Hengchun"",""22.04:120.73"",""Asia/Taipei"",""Taiwan"""
"HCQ,""city"",""Холс Крик"",""Halls Creek"",""-18.2240552:127.6682037"",""Australia/Perth"",""Australia"""
"HCR,""city"",""Холи Кросс"",""Holy Cross"",""62.1994444:-159.7713889"",""America/New_York"",""United States"""
"HCW,""city"",""Черо"",""Cheraw"",""34.6976564:-79.8833971"",""America/Chicago"",""United States"""
"HDA,""city"",""Хидден Фоллс"",""Hidden Falls"",""57.07:-134.98"",""America/Kentucky/Monticello"",""United States"""
"HDB,""city"",""Хайдельберг"",""Heidelberg"",""49.4018997:8.680285"",""Europe/Berlin"",""Germany"""
"HDD,""city"",""Хайдарабад"",""Hyderabad"",""25.38019:68.36647"",""Asia/Karachi"",""Pakistan"""
"HDE,""city"",""Холдредж"",""Holdrege"",""40.439659:-99.376038"",""America/North_Dakota/New_Salem"",""United States"""
"HDF,""city"",""Херингсдорф"",""Heringsdorf"",""53.9570857:14.1670039"",""Europe/Berlin"",""Germany"""
"HDH,""city"",""Оаху"",""Oahu"",""21.4389123:-158.0000565"",""Pacific/Tahiti"",""United States"""
"HDM,""city"",""Хамадан"",""Hamadan"",""34.8065:48.5162472"",""Asia/Tehran"",""Iran"""
"HDN,""city"",""Хейден"",""Hayden"",""40.4927778:-107.2552778"",""America/Chicago"",""United States"""
"HDR,""city"",""Хавадарья"",""Havadarya"",,,""Iran"""
"HDS,""city"",""Хоэдспруит"",""Hoedspruit"",""-24.35:30.966667"",""Africa/Johannesburg"",""South Africa"""
"HDY,""city"",""Хатъяй"",""Hat Yai"",""7.0019444:100.4572222"",""Asia/Bangkok"",""Thailand"""
"HEA,""city"",""Герат"",""Herat"",""34.3739:62.1792"",""Asia/Kabul"",""Afghanistan"""
"HEB,""city"",""Хензада"",""Henzada"",""17.67:95.42"",""Asia/Rangoon"",""Myanmar"""
"HED,""city"",""Херендин"",""Herendeen"",""55.8:-160.9"",""America/Nome"",""United States"""
"HEE,""city"",""Хелена"",""Helena"",""34.5295471:-90.5917722"",""America/Chicago"",""United States"""
"HEH,""city"",""Хехо"",""Heho"",""20.7233333:96.8211111"",""Asia/Rangoon"",""Myanmar"""
"HEI,""city"",""Хейде-Буесум"",""Heide-Buesum"",""54.16:8.9"",""Europe/Berlin"",""Germany"""
"HEK,""city"",""Хэйхэ"",""Heihe"",""50.245297:127.52846"",""Asia/Harbin"",""China"""
"HEL,""city"",""Хельсинки"",""Helsinki"",""60.2943605:25.0402427"",""Europe/Helsinki"",""Finland"""
"HEM,""city"",""Хельсинки"",""Helsinki"",""60.1698125:24.9382401"",,""Finland"""
"HEN,""city"",""Хендон"",""Hendon"",""51.58:-0.23"",""Europe/London"",""United Kingdom"""
"HEO,""city"",""Хаелого"",""Haelogo"",""-9.133333:147.583333"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"HER,""city"",""Ираклион"",""Heraklion"",""35.329162:25.138526"",""Europe/Athens"",""Greece"""
"HES,""city"",""Хермистон"",""Hermiston"",""45.8404101:-119.2894605"",""America/Los_Angeles"",""United States"""
"HET,""city"",""Хух Хото"",""Hohhot"",""40.84231:111.748847"",""Asia/Harbin"",""China"""
"HEV,""city"",""Уэльва"",""Huelva"",""37.2571526:-6.9495221"",""+0.0"",""Spain"""
"HEZ,""city"",""Натчез"",""Natchez"",""31.5604442:-91.403171"",""America/Chicago"",""United States"""
"HFA,""city"",""Хайфа"",""Haifa"",""32.83036:34.974339"",""Asia/Jerusalem"",""Israel"""
"HFD,""city"",""Хартфорд"",""Hartford"",""41.7637111:-72.6850932"",""America/Indiana/Vevay"",""United States"""
"HFE,""city"",""Луонгаг"",""Luogang"",""31.78:117.3"",""Asia/Shanghai"",""China"""
